,BAC,C,WFC,JPM,GS,USB,PNC,TFC,FITB,STT,SCHW,MS,BLK,V
2023-07-12,29.360000610351562,47.380001068115234,43.2599983215332,148.14999389648438,326.3999938964844,35.11000061035156,127.2300033569336,33.02000045776367,27.190000534057617,75.83999633789062,58.40999984741211,85.7699966430664,726.0,242.2100067138672
2023-07-13,29.670000076293945,47.68000030517578,43.709999084472656,148.8699951171875,328.67999267578125,35.810001373291016,129.7899932861328,33.619998931884766,27.420000076293945,77.45999908447266,59.93000030517578,86.20999908447266,739.7999877929688,243.30999755859375
2023-07-14,29.110000610351562,45.75,43.560001373291016,149.77000427246094,326.19000244140625,35.33000183105469,125.79000091552734,33.099998474121094,26.979999542236328,68.0999984741211,58.52000045776367,85.77999877929688,728.030029296875,243.16000366210938
2023-07-17,29.399999618530273,46.2599983215332,44.7400016784668,153.3800048828125,327.20001220703125,35.2599983215332,127.16000366210938,33.43000030517578,27.309999465942383,66.51000213623047,58.63999938964844,86.37000274658203,727.8699951171875,243.99000549316406
2023-07-18,30.700000762939453,47.02000045776367,45.599998474121094,153.66000366210938,337.2699890136719,36.54999923706055,130.35000610351562,34.5099983215332,27.93000030517578,68.29000091552734,66.01000213623047,91.94000244140625,738.9299926757812,240.77000427246094
2023-07-19,31.530000686645508,47.52000045776367,46.2599983215332,154.25,340.54998779296875,38.90999984741211,132.3699951171875,35.59000015258789,28.5,69.37999725341797,66.04000091552734,93.16000366210938,747.2999877929688,241.4199981689453
2023-07-20,31.690000534057617,47.40999984741211,47.130001068115234,156.14999389648438,350.8599853515625,39.13999938964844,133.99000549316406,33.060001373291016,29.260000228881836,70.33999633789062,67.94000244140625,93.80000305175781,750.8800048828125,239.6199951171875
2023-07-21,31.979999542236328,47.04999923706055,45.959999084472656,154.9499969482422,351.9599914550781,38.41999816894531,134.25999450683594,33.04999923706055,28.229999542236328,70.2699966430664,66.4800033569336,94.01000213623047,751.2100219726562,239.25
2023-07-24,32.650001525878906,47.65999984741211,46.41999816894531,158.0,358.92999267578125,39.2599983215332,135.60000610351562,33.5,28.65999984741211,71.23999786376953,66.55999755859375,94.66999816894531,756.5800170898438,240.74000549316406
2023-07-25,32.150001525878906,47.09000015258789,45.47999954223633,156.82000732421875,354.70001220703125,37.86000061035156,133.5399932861328,32.58000183105469,28.030000686645508,70.7300033569336,65.44000244140625,94.41999816894531,746.02001953125,238.69000244140625
2023-07-26,32.40999984741211,47.4900016784668,46.439998626708984,157.75999450683594,357.55999755859375,38.88999938964844,136.00999450683594,33.36000061035156,28.530000686645508,71.47000122070312,66.62000274658203,93.54000091552734,743.1599731445312,237.10000610351562
2023-07-27,31.950000762939453,47.880001068115234,45.77000045776367,156.02000427246094,354.510009765625,38.81999969482422,133.1199951171875,31.989999771118164,28.56999969482422,70.4800033569336,65.81999969482422,92.75,729.0700073242188,234.44000244140625
2023-07-28,31.899999618530273,47.40999984741211,46.13999938964844,156.91000366210938,353.2300109863281,39.540000915527344,135.5,33.0099983215332,28.850000381469727,71.16999816894531,65.95999908447266,91.56999969482422,738.3400268554688,235.75
2023-07-31,32.0,47.65999984741211,46.15999984741211,157.9600067138672,355.8699951171875,39.68000030517578,136.88999938964844,33.220001220703125,29.100000381469727,72.44000244140625,66.0999984741211,91.55999755859375,738.8499755859375,237.72999572753906
2023-08-01,31.6200008392334,47.06999969482422,45.709999084472656,157.17999267578125,357.7200012207031,38.709999084472656,135.42999267578125,32.79999923706055,28.809999465942383,72.12999725341797,65.72000122070312,90.94000244140625,732.260009765625,239.77999877929688
2023-08-02,31.190000534057617,46.310001373291016,45.099998474121094,155.39999389648438,351.1000061035156,38.43000030517578,134.1199951171875,32.310001373291016,28.3700008392334,72.70999908447266,65.33999633789062,89.31999969482422,717.4400024414062,237.55999755859375
2023-08-03,31.40999984741211,46.209999084472656,45.150001525878906,156.35000610351562,353.1600036621094,39.45000076293945,133.02000427246094,32.279998779296875,28.479999542236328,73.0,65.87000274658203,89.13999938964844,710.1699829101562,238.75999450683594
