,KB,우리,하나,신한
2022-06-16,52800.0,13900.0,43950.0,40550.0
2022-06-17,52100.0,13650.0,42600.0,40050.0
2022-06-20,51400.0,13400.0,41950.0,39750.0
2022-06-21,50800.0,13300.0,42200.0,39600.0
2022-06-22,48650.0,12800.0,40000.0,39050.0
2022-06-23,47900.0,12500.0,40050.0,37750.0
2022-06-24,49000.0,12850.0,40300.0,38700.0
2022-06-27,48900.0,12500.0,39800.0,38500.0
2022-06-28,49400.0,12550.0,40750.0,39000.0
2022-06-29,48100.0,12050.0,39900.0,37850.0
2022-06-30,48150.0,12100.0,39350.0,37050.0
2022-07-01,48200.0,12000.0,39800.0,37900.0
2022-07-04,46950.0,11650.0,38350.0,37250.0
2022-07-05,47300.0,11900.0,38950.0,37300.0
2022-07-06,45650.0,11300.0,37550.0,35450.0
2022-07-07,46050.0,11450.0,36800.0,35050.0
2022-07-08,47000.0,11600.0,37200.0,36250.0
2022-07-11,46850.0,11550.0,36550.0,35850.0
2022-07-12,46100.0,11350.0,36050.0,35600.0
2022-07-13,45300.0,11450.0,35650.0,34600.0
2022-07-14,45350.0,11300.0,34800.0,34000.0
2022-07-15,44050.0,11000.0,33850.0,33400.0
2022-07-18,46150.0,11650.0,35600.0,34650.0
2022-07-19,46300.0,11600.0,35650.0,34600.0
2022-07-20,48500.0,11950.0,36600.0,35550.0
2022-07-21,48650.0,12200.0,37400.0,35850.0
2022-07-22,47750.0,12050.0,36150.0,35650.0
2022-07-25,47850.0,11950.0,36250.0,36000.0
2022-07-26,47700.0,11900.0,35900.0,35750.0
2022-07-27,47700.0,11850.0,36100.0,35650.0
2022-07-28,47650.0,11750.0,36800.0,35700.0
2022-07-29,48450.0,11900.0,37200.0,35700.0
2022-08-01,47950.0,11750.0,36900.0,35050.0
2022-08-02,47500.0,11750.0,36900.0,35150.0
2022-08-03,47700.0,11850.0,36850.0,35250.0
2022-08-04,48100.0,11750.0,37200.0,35450.0
2022-08-05,50400.0,11800.0,38050.0,35850.0
2022-08-08,50600.0,12150.0,39050.0,35950.0
2022-08-09,50900.0,12200.0,39450.0,36150.0
2022-08-10,50800.0,12000.0,39300.0,35800.0
2022-08-11,52200.0,12300.0,40150.0,36300.0
2022-08-12,52200.0,12400.0,39600.0,36100.0
2022-08-15,52200.0,12400.0,39600.0,36100.0
2022-08-16,51800.0,12350.0,39150.0,35750.0
2022-08-17,51900.0,12450.0,39250.0,36050.0
2022-08-18,50700.0,12200.0,38500.0,35500.0
2022-08-19,50800.0,12450.0,38500.0,35700.0
2022-08-22,49750.0,12200.0,37800.0,35450.0
2022-08-23,49000.0,12050.0,37750.0,35300.0
2022-08-24,50400.0,12200.0,38850.0,36100.0
2022-08-25,50300.0,12300.0,39200.0,36450.0
2022-08-26,50100.0,12300.0,39050.0,36350.0
2022-08-29,49200.0,12000.0,38050.0,35500.0
2022-08-30,49600.0,12050.0,38800.0,35850.0
2022-08-31,49450.0,12200.0,39250.0,36600.0
2022-09-01,47750.0,11550.0,37500.0,34900.0
2022-09-02,47150.0,11450.0,37700.0,34600.0
2022-09-05,48100.0,11600.0,38050.0,34750.0
2022-09-06,48150.0,11550.0,37950.0,34650.0
2022-09-07,46850.0,11300.0,36800.0,34250.0
2022-09-08,48200.0,11350.0,37000.0,35050.0
2022-09-09,48200.0,11350.0,37000.0,35050.0
2022-09-12,48200.0,11350.0,37000.0,35050.0
2022-09-13,49950.0,11800.0,39250.0,36000.0
2022-09-14,49800.0,11550.0,38450.0,35400.0
2022-09-15,49600.0,11700.0,38750.0,35800.0
2022-09-16,50100.0,11800.0,38900.0,35900.0
2022-09-19,49600.0,11700.0,38600.0,36100.0
2022-09-20,49950.0,11850.0,39050.0,36550.0
2022-09-21,48800.0,11800.0,38350.0,36150.0
2022-09-22,49050.0,11800.0,38150.0,36050.0
2022-09-23,49400.0,11950.0,39150.0,36950.0
2022-09-26,46450.0,11350.0,37500.0,35350.0
2022-09-27,44500.0,11250.0,36450.0,34500.0
2022-09-28,44350.0,10950.0,36500.0,34250.0
2022-09-29,44250.0,10950.0,36500.0,34300.0
2022-09-30,43700.0,10700.0,35450.0,33500.0
2022-10-03,43700.0,10700.0,35450.0,33500.0
2022-10-04,44700.0,11100.0,37250.0,34500.0
2022-10-05,46500.0,11200.0,38250.0,34900.0
2022-10-06,45800.0,11100.0,37350.0,34700.0
2022-10-07,45900.0,11400.0,37850.0,35450.0
2022-10-10,45900.0,11400.0,37850.0,35450.0
2022-10-11,44650.0,11100.0,36850.0,34650.0
2022-10-12,44550.0,11350.0,37350.0,34950.0
2022-10-13,44700.0,11350.0,37500.0,34900.0
2022-10-14,46750.0,11850.0,38450.0,35700.0
2022-10-17,45900.0,11700.0,38300.0,36200.0
2022-10-18,47350.0,11850.0,39400.0,36750.0
2022-10-19,47900.0,12000.0,39500.0,37050.0
2022-10-20,46500.0,12000.0,39150.0,36550.0
2022-10-21,46000.0,11750.0,38800.0,36350.0
2022-10-24,45150.0,11450.0,37800.0,35700.0
2022-10-25,45750.0,11500.0,38150.0,35900.0
2022-10-26,45300.0,11350.0,39200.0,35250.0
2022-10-27,47000.0,11650.0,41100.0,35950.0
2022-10-28,47800.0,11850.0,41350.0,36600.0
2022-10-31,48050.0,11750.0,41250.0,36300.0
2022-11-01,47300.0,11750.0,41300.0,36450.0
2022-11-02,47900.0,11600.0,41200.0,36000.0
2022-11-03,47500.0,11400.0,40850.0,35550.0
2022-11-04,47100.0,11450.0,40750.0,35750.0
2022-11-07,47450.0,11550.0,40800.0,36600.0
2022-11-08,47750.0,11700.0,40750.0,36550.0
2022-11-09,49100.0,11800.0,41200.0,37400.0
2022-11-10,49100.0,11800.0,40550.0,37550.0
2022-11-11,49400.0,11950.0,41400.0,37200.0
2022-11-14,49650.0,11900.0,41250.0,37250.0
2022-11-15,49600.0,11950.0,40950.0,36800.0
2022-11-16,50100.0,12200.0,41750.0,36650.0
2022-11-17,48550.0,11900.0,41000.0,35850.0
2022-11-18,49000.0,11750.0,41400.0,36300.0
2022-11-21,49700.0,12100.0,41950.0,36500.0
2022-11-22,49800.0,12350.0,42300.0,36450.0
2022-11-23,49950.0,12300.0,42250.0,36400.0
2022-11-24,51000.0,12550.0,43350.0,37050.0
2022-11-25,50400.0,12450.0,43300.0,36550.0
2022-11-28,49300.0,12150.0,41850.0,36300.0
2022-11-29,51600.0,12650.0,43750.0,37350.0
2022-11-30,52500.0,13000.0,44550.0,38100.0
2022-12-01,53500.0,13100.0,46000.0,38350.0
2022-12-02,52400.0,12750.0,45550.0,38100.0
2022-12-05,52500.0,12800.0,45600.0,38200.0
2022-12-06,52100.0,12750.0,45350.0,37900.0
2022-12-07,50800.0,12500.0,44100.0,37250.0
2022-12-08,50400.0,12550.0,44800.0,37400.0
2022-12-09,52600.0,12950.0,46450.0,38000.0
2022-12-12,53300.0,12850.0,47200.0,38500.0
2022-12-13,53300.0,12850.0,46350.0,38350.0
2022-12-14,52900.0,12800.0,46150.0,38050.0
2022-12-15,51600.0,12650.0,44550.0,37700.0
2022-12-16,51900.0,12850.0,44750.0,37450.0
2022-12-19,52200.0,12900.0,44550.0,37500.0
2022-12-20,52900.0,12950.0,44600.0,37800.0
2022-12-21,52300.0,12900.0,45300.0,37950.0
2022-12-22,52600.0,12900.0,45300.0,37900.0
2022-12-23,51600.0,12750.0,44650.0,37550.0
2022-12-26,51000.0,12750.0,44600.0,37200.0
