"시점",서울특별시,서울특별시,서울특별시,종로구,종로구,종로구,중구,중구,중구,용산구,용산구,용산구,성동구,성동구,성동구,광진구,광진구,광진구,동대문구,동대문구,동대문구,중랑구,중랑구,중랑구,성북구,성북구,성북구,강북구,강북구,강북구,도봉구,도봉구,도봉구,노원구,노원구,노원구,은평구,은평구,은평구,서대문구,서대문구,서대문구,마포구,마포구,마포구,양천구,양천구,양천구,강서구,강서구,강서구,구로구,구로구,구로구,금천구,금천구,금천구,영등포구,영등포구,영등포구,동작구,동작구,동작구,관악구,관악구,관악구,서초구,서초구,서초구,강남구,강남구,강남구,송파구,송파구,송파구,강동구,강동구,강동구
"시점",총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명),총전입 (명),총전출 (명),순이동 (명)
"2022.08",103288,104172,-884,1797,1754,43,1427,1483,-56,2636,2617,19,3073,3129,-56,3858,4013,-155,4273,3985,288,3644,3993,-349,4497,4305,192,2747,2817,-70,2472,2798,-326,4046,4419,-373,4612,5037,-425,4163,3392,771,4173,4409,-236,3782,4132,-350,5723,6067,-344,3432,3906,-474,2459,2516,-57,5410,4823,587,4661,4945,-284,7783,7214,569,4308,4635,-327,7028,6522,506,6675,6958,-283,4609,4303,306
"2022.09",86938,91087,-4149,1458,1592,-134,1239,1290,-51,2153,2313,-160,2455,2836,-381,2973,3352,-379,4186,3254,932,3117,3433,-316,3370,3645,-275,2293,2558,-265,2152,2526,-374,3775,3894,-119,4048,4730,-682,2910,2721,189,3462,3662,-200,3114,3541,-427,5068,5634,-566,2982,3263,-281,2256,2464,-208,4285,4092,193,3928,4368,-440,7059,6469,590,4279,4219,60,5046,5298,-252,5557,6008,-451,3773,3925,-152
"2022.10",85408,91844,-6436,1422,1472,-50,1103,1309,-206,2137,2322,-185,2206,2717,-511,3106,3406,-300,3437,3240,197,3073,3473,-400,3370,3593,-223,2300,2649,-349,2148,2414,-266,3349,3784,-435,3954,4998,-1044,2712,2721,-9,3226,3821,-595,3392,3789,-397,4895,5274,-379,4732,3663,1069,2183,2509,-326,3916,4319,-403,3585,4470,-885,6732,6252,480,3981,4221,-240,5053,5233,-180,5678,6218,-540,3718,3977,-259
"2022.11",85979,92384,-6405,1328,1501,-173,1158,1249,-91,2244,2422,-178,2426,2743,-317,3307,3477,-170,2973,2947,26,3099,3402,-303,3152,3638,-486,2333,2675,-342,2238,2512,-274,3343,3708,-365,4285,5380,-1095,3320,2849,471,3450,3802,-352,3303,3494,-191,4998,5572,-574,4269,3672,597,2185,2437,-252,3973,4089,-116,3674,4682,-1008,6363,6436,-73,3634,3855,-221,5174,5427,-253,5866,6345,-479,3884,4070,-186
"2022.12",92333,99747,-7414,1389,1628,-239,1327,1407,-80,2245,2546,-301,2439,2784,-345,3417,3675,-258,2874,3380,-506,3141,3377,-236,3325,3911,-586,2326,2553,-227,2307,2579,-272,3316,4118,-802,4421,5404,-983,4105,3256,849,4314,4056,258,3459,4078,-619,5869,6110,-241,4158,3666,492,2235,2484,-249,4239,4369,-130,4021,5122,-1101,6618,6839,-221,4168,4549,-381,5916,6481,-565,6597,7181,-584,4107,4194,-87
"2023.01",91225,94248,-3023,1420,1568,-148,1297,1393,-96,2100,2358,-258,2635,2939,-304,3312,3465,-153,3154,3339,-185,2796,2982,-186,3562,3988,-426,1999,2236,-237,1836,2210,-374,3415,4221,-806,4211,4663,-452,4367,3377,990,4514,4168,346,3504,3706,-202,5184,5480,-296,3473,3350,123,2029,2183,-154,4885,4469,416,3884,4468,-584,6850,6667,183,4274,4053,221,6159,6350,-191,6439,6690,-251,3926,3925,1
"2023.02",126733,123266,3467,2298,2062,236,1931,1658,273,2806,3040,-234,3912,4146,-234,4455,4617,-162,5983,5025,958,3885,3783,102,5964,5668,296,2756,2831,-75,2368,2701,-333,5896,5808,88,5003,5515,-512,5436,4483,953,6043,5533,510,4718,5234,-516,6727,6879,-152,3885,3917,-32,2514,2596,-82,5480,5284,196,6098,6435,-337,8864,8262,602,5808,5292,516,9166,8126,1040,9149,8937,212,5588,5434,154
"2023.03",116723,117601,-878,1792,2124,-332,2038,1624,414,2566,2959,-393,3570,3855,-285,4301,4564,-263,4658,4302,356,4063,4164,-101,4871,4917,-46,2722,2996,-274,2578,2853,-275,4808,5081,-273,4272,4944,-672,4018,3744,274,5016,4916,100,3771,4566,-795,6381,6752,-371,4033,4276,-243,2703,2784,-81,5292,5147,145,6233,5663,570,8455,8005,450,4658,4961,-303,11083,8257,2826,7992,8957,-965,4849,5190,-341
"2023.04",89745,93110,-3365,1255,1408,-153,1576,1295,281,2240,2406,-166,2513,2775,-262,3334,3584,-250,3218,3053,165,3255,3353,-98,3300,3605,-305,2304,2576,-272,2048,2465,-417,3333,4014,-681,3647,4224,-577,2694,2757,-63,3573,3832,-259,3149,3511,-362,5343,5755,-412,3335,3425,-90,2622,2595,27,4060,4285,-225,4528,4361,167,6206,6291,-85,3587,3918,-331,7931,6102,1829,6662,7079,-417,4032,4441,-409
"2023.05",99323,102676,-3353,1460,1698,-238,1588,1481,107,2458,2623,-165,2776,2989,-213,3944,3905,39,3377,3339,38,3520,3706,-186,3829,3889,-60,2623,2930,-307,2322,2630,-308,3814,4333,-519,3982,4537,-555,3083,3187,-104,4335,4335,0,3850,4004,-154,5987,6598,-611,3659,3805,-146,2593,2641,-48,4656,4804,-148,5111,4937,174,6703,6783,-80,4128,4295,-167,7696,6657,1039,7274,7757,-483,4555,4813,-258
