단란주점영업,2.64%,20.51%,0.08
담배도매업,3.52%,194.01%,0.0
담배소매업,61.52%,6.43%,0.23
담배수입판매업체,-0.4%,-32.23%,0.16
당구장업,-9.72%,-18.86%,0.03
대규모점포,0.93%,22.09%,0.25
대기오염물질배출시설설치사업장,101.68%,41.28%,0.0
대중문화예술기획업,1.19%,2.74%,0.43
도축업,0.29%,634.57%,0.0
동물미용업,19.17%,19.53%,0.04
동물병원,-0.21%,-0.95%,0.47
동물생산업,-0.47%,-2.15%,0.43
동물수입업,0.58%,27.54%,0.17
동물약국,6.3%,5.39%,0.36
동물용의료용구판매업,9.39%,41.55%,0.02
동물용의약품도매상,2.55%,91.77%,0.0
동물운송업,25.32%,174.53%,0.0
동물위탁관리업,4.06%,6.84%,0.24
동물장묘업,-0.48%,-59.22%,0.16
동물전시업,-2.83%,-30.85%,0.06
동물판매업,14.06%,48.01%,0.0
등록체육시설업,-0.0%,-0.11%,0.5
목욕장업,-0.76%,-8.8%,0.37
목재수입유통업,-1.62%,-10.73%,0.28
무도장업,-0.22%,-30.99%,0.32
무도학원업,-0.97%,-45.4%,0.11
무료직업소개소,2.88%,39.58%,0.11
문화예술법인,-2.14%,-20.11%,0.08
물류창고업체,3.79%,24.38%,0.12
미용업,295.46%,25.65%,0.02
민방위급수시설,-10.41%,-48.25%,0.24
민방위대피시설,-3.12%,-11.94%,0.34
박물관 미술관,-1.48%,-44.7%,0.11
방문판매업,-3.67%,-2.36%,0.45
배출가스전문정비사업자(확인검사대행자),-6.87%,-85.48%,0.04
병원,-0.94%,-5.94%,0.38
복합영상물제공업,-0.05%,-100.0%,0.33
복합유통게임제공업,-2.89%,-34.42%,0.1
부속의료기관,-0.02%,-2.77%,0.48
부화업,0.05%,10.0%,0.45
분뇨수집운반업,-0.17%,-11.1%,0.39
'shape' elements cannot be negative
비디오물배급업,0.36%,5.47%,0.36
비디오물시청제공업,-0.05%,-100.0%,0.32
비디오물제작업,35.23%,26.74%,0.01
빙상장업,-0.08%,-18.46%,0.42
사료제조업,10.15%,10.08%,0.29
산후조리업,-0.2%,-14.51%,0.38
상조업,-0.14%,-100.0%,0.27
석연탄제조업,0.07%,81.49%,0.27
석유및석유대체연료판매업체,0.94%,25.15%,0.14
석유판매업,-0.34%,-3.38%,0.43
세탁업,-2.61%,-8.68%,0.23
소독업,-36.64%,-22.19%,0.09
수영장업,-0.4%,-9.09%,0.36
수질오염원설치시설(기타),-390.87%,-82.69%,0.27
숙박업,10.42%,15.5%,0.13
승강기유지관리업체,0.99%,36.75%,0.16
승강기제조및수입업체,0.85%,64.4%,0.04
승마장업,0.06%,22.82%,0.42
시내순환관광업,0.35%,109.45%,0.11
식용얼음판매업,-0.09%,-100.0%,0.26
식육포장처리업,3.18%,5.53%,0.35
식품냉동냉장업,-1.96%,-35.85%,0.1
식품소분업,1.58%,1.15%,0.45
식품운반업,-3.17%,-15.34%,0.33
식품자동판매기업,40.89%,15.65%,0.11
식품제조가공업,36.82%,20.86%,0.01
식품첨가물제조업,-2.69%,-22.37%,0.18
식품판매업(기타),3.09%,10.76%,0.24
썰매장업,0.26%,63.83%,0.13
쓰레기종량제봉투판매업,-61.81%,-29.37%,0.26
안경업,-4.44%,-11.85%,0.15
안전상비의약품 판매업소,-28.84%,-6.56%,0.23
액화석유가스용품제조업체,0.17%,11.14%,0.36
약국,11.12%,11.35%,0.16
영화배급업,-0.23%,-2.22%,0.46
영화상영관,0.86%,5.7%,0.46
영화상영업,-2.82%,-38.53%,0.03
영화수입업,-0.18%,-3.53%,0.46
영화제작업,6.11%,19.45%,0.21
옥외광고업,-2.72%,-2.3%,0.44
온라인음악서비스제공업,-0.33%,-66.73%,0.14
'shape' elements cannot be negative
외국인관광도시민박업,6.41%,39.45%,0.0
외국인전용유흥음식점업,-0.5%,-100.0%,0.05
요양보호사교육기관,9.95%,75.31%,0.0
요트장업,-0.05%,-100.0%,0.3
용기·포장지제조업,-2.08%,-19.95%,0.14
용기냉동기특정설비,2.79%,46.06%,0.02
원목생산업,1.13%,10.92%,0.35
위탁급식영업,44.19%,55.96%,0.0
유료직업소개소,38.38%,37.4%,0.0
유원시설업(기타),2.59%,12.39%,0.21
유통전문판매업,32.89%,12.01%,0.11
유흥주점영업,2.27%,10.61%,0.21
음반.음악영상물배급업,-0.85%,-16.42%,0.27
음반.음악영상물제작업,-2.3%,-8.42%,0.29
음반물배급업,-0.41%,-100.0%,0.09
음반물제작업,-2.21%,-100.0%,0.02
응급환자이송업,-0.28%,-35.5%,0.22
의료기관세탁물처리업,-0.11%,-13.72%,0.37
의료기기수리업,-2.24%,-12.49%,0.24
의료기기판매(임대)업,3035.79%,312.47%,0.0
의료법인,-0.65%,-49.28%,0.12
의료유사업,-1.02%,-16.55%,0.18
의원,33.98%,16.03%,0.05
이용업,16.1%,35.58%,0.0
인쇄사,-4.4%,-9.02%,0.23
인터넷컴퓨터게임시설제공업,24.67%,19.15%,0.04
일반게임제공업,2.19%,8.85%,0.33
일반야영장업,3.46%,17.55%,0.26
일반유원시설업,0.45%,17.84%,0.3
일반음식점,389.25%,9.16%,0.15
자동차야영장업,1.22%,28.4%,0.13
장례지도사 교육기관,0.55%,120.99%,0.04
저수조청소업,8.16%,25.5%,0.04
전력기술감리업체,0.51%,6.94%,0.4
전력기술설계업체,-0.47%,-8.35%,0.35
전문휴양업,0.17%,33.84%,0.33
전통사찰,-0.01%,-8.22%,0.5
전화권유판매업,2.93%,5.93%,0.33
제과점영업,43.76%,30.8%,0.01
제재업,0.36%,3.53%,0.41
종축업,-1.3%,-49.41%,0.04
종합여행업,45.0%,139.93%,0.0
종합유원시설업,0.2%,144.95%,0.18
종합체육시설업,-0.9%,-51.83%,0.08
즉석판매제조가공업,271.98%,26.4%,0.04
지하수시공업체,-2.91%,-16.9%,0.17
지하수영향조사기관,0.27%,4.94%,0.42
지하수정화업체,0.03%,4.76%,0.46
집단급식소,-39.75%,-21.93%,0.11
집단급식소식품판매업,28.26%,49.95%,0.0
집유업,-0.05%,-100.0%,0.33
청소년게임제공업,-8.81%,-26.58%,0.02
체력단련장업,63.57%,54.37%,0.0
체육도장업,-20.35%,-22.74%,0.25
축산가공업,1.38%,3.34%,0.39
축산물보관업,-1.79%,-23.98%,0.12
축산물운반업,-6.36%,-33.13%,0.13
축산판매업,7.7%,2.37%,0.4
출판사,39.17%,9.63%,0.18
치과기공소,1.37%,8.09%,0.25
통신판매업,840.69%,5.35%,0.3
특정고압가스업,8.8%,26.22%,0.05
한옥체험업,4.14%,40.56%,0.02
환경관리대행기관,12.48%,124.53%,0.0
환경전문공사업,23.6%,113.85%,0.0
환경측정대행업,14.9%,71.72%,0.0
환경컨설팅회사,3.21%,92.74%,0.0
